Program started
Connected to remote API server
Number of objects in the scene: 26
currentTime = 1.112075, dt = 0.002019
currentTime = 1.114094, dt = 0.002019
currentTime = 1.116104, dt = 0.002011
currentTime = 1.118115, dt = 0.002011
currentTime = 1.120133, dt = 0.002018
currentTime = 1.123317, dt = 0.003184
currentTime = 1.125327, dt = 0.002010
currentTime = 1.127344, dt = 0.002017
currentTime = 1.129425, dt = 0.002081
currentTime = 1.131439, dt = 0.002014
currentTime = 1.133451, dt = 0.002011
currentTime = 1.135483, dt = 0.002033
currentTime = 1.137512, dt = 0.002028
Here here. -0.002986, -0.001244, 0.001569
currentTime = 1.146106, dt = 0.008594
currentTime = 1.148120, dt = 0.002015
currentTime = 1.151234, dt = 0.003114
currentTime = 1.153263, dt = 0.002029
currentTime = 1.155291, dt = 0.002027
currentTime = 1.157304, dt = 0.002013
currentTime = 1.159314, dt = 0.002011
currentTime = 1.161326, dt = 0.002011
currentTime = 1.163335, dt = 0.002009
currentTime = 1.165403, dt = 0.002068
currentTime = 1.167417, dt = 0.002015
currentTime = 1.170365, dt = 0.002948
currentTime = 1.172404, dt = 0.002039
currentTime = 1.174415, dt = 0.002012
currentTime = 1.177675, dt = 0.003260
currentTime = 1.179730, dt = 0.002054
currentTime = 1.181744, dt = 0.002014
currentTime = 1.183812, dt = 0.002069
currentTime = 1.185833, dt = 0.002021
currentTime = 1.187842, dt = 0.002009
currentTime = 1.189852, dt = 0.002009
currentTime = 1.191868, dt = 0.002016
currentTime = 1.193882, dt = 0.002015
currentTime = 1.195916, dt = 0.002033
currentTime = 1.198023, dt = 0.002108
currentTime = 1.200044, dt = 0.002021
currentTime = 1.202055, dt = 0.002010
currentTime = 1.204063, dt = 0.002009
currentTime = 1.206082, dt = 0.002019
currentTime = 1.208671, dt = 0.002589
currentTime = 1.210684, dt = 0.002014
currentTime = 1.212696, dt = 0.002012
currentTime = 1.215550, dt = 0.002854
currentTime = 1.217590, dt = 0.002040
currentTime = 1.219612, dt = 0.002023
currentTime = 1.221647, dt = 0.002035
currentTime = 1.223658, dt = 0.002011
currentTime = 1.226874, dt = 0.003216
currentTime = 1.228900, dt = 0.002025
currentTime = 1.230933, dt = 0.002033
currentTime = 1.232957, dt = 0.002024
currentTime = 1.234970, dt = 0.002013
currentTime = 1.236994, dt = 0.002024
currentTime = 1.239005, dt = 0.002011
currentTime = 1.241845, dt = 0.002840
currentTime = 1.243856, dt = 0.002011
currentTime = 1.245866, dt = 0.002011
currentTime = 1.247884, dt = 0.002018
currentTime = 1.249934, dt = 0.002050
currentTime = 1.251967, dt = 0.002032
currentTime = 1.253986, dt = 0.002019
currentTime = 1.255999, dt = 0.002013
currentTime = 1.258010, dt = 0.002010
currentTime = 1.260045, dt = 0.002036
currentTime = 1.262058, dt = 0.002013
currentTime = 1.264264, dt = 0.002206
currentTime = 1.266295, dt = 0.002030
currentTime = 1.268307, dt = 0.002013
currentTime = 1.270621, dt = 0.002313
currentTime = 1.272645, dt = 0.002025
currentTime = 1.274660, dt = 0.002014
currentTime = 1.276668, dt = 0.002009
currentTime = 1.279616, dt = 0.002948
currentTime = 1.281673, dt = 0.002057
currentTime = 1.283702, dt = 0.002029
currentTime = 1.285714, dt = 0.002012
currentTime = 1.287737, dt = 0.002023
currentTime = 1.289749, dt = 0.002011
currentTime = 1.291761, dt = 0.002012
currentTime = 1.293769, dt = 0.002009
currentTime = 1.295781, dt = 0.002012
currentTime = 1.297804, dt = 0.002023
currentTime = 1.299822, dt = 0.002018
currentTime = 1.303138, dt = 0.003316
currentTime = 1.305164, dt = 0.002026
currentTime = 1.307221, dt = 0.002057
currentTime = 1.309233, dt = 0.002012
currentTime = 1.311316, dt = 0.002083
currentTime = 1.313337, dt = 0.002021
currentTime = 1.315353, dt = 0.002016
currentTime = 1.317362, dt = 0.002009
currentTime = 1.320882, dt = 0.003520
currentTime = 1.322897, dt = 0.002015
currentTime = 1.324908, dt = 0.002011
currentTime = 1.326916, dt = 0.002007
currentTime = 1.328932, dt = 0.002017
currentTime = 1.330957, dt = 0.002024
currentTime = 1.332988, dt = 0.002032
currentTime = 1.334998, dt = 0.002010
currentTime = 1.337099, dt = 0.002102
currentTime = 1.339111, dt = 0.002011
currentTime = 1.341118, dt = 0.002007
currentTime = 1.343128, dt = 0.002010
currentTime = 1.345143, dt = 0.002015
currentTime = 1.347168, dt = 0.002025
currentTime = 1.349180, dt = 0.002012
currentTime = 1.351200, dt = 0.002020
currentTime = 1.353211, dt = 0.002011
currentTime = 1.355223, dt = 0.002012
currentTime = 1.357253, dt = 0.002029
currentTime = 1.359263, dt = 0.002010
currentTime = 1.361270, dt = 0.002007
currentTime = 1.363286, dt = 0.002016
currentTime = 1.365311, dt = 0.002025
currentTime = 1.367333, dt = 0.002023
currentTime = 1.369355, dt = 0.002022
currentTime = 1.371368, dt = 0.002012
currentTime = 1.373943, dt = 0.002575
currentTime = 1.375979, dt = 0.002036
currentTime = 1.377986, dt = 0.002007
currentTime = 1.379996, dt = 0.002010
currentTime = 1.382025, dt = 0.002029
currentTime = 1.384050, dt = 0.002025
currentTime = 1.386064, dt = 0.002014
currentTime = 1.388075, dt = 0.002011
currentTime = 1.390087, dt = 0.002012
currentTime = 1.392098, dt = 0.002011
currentTime = 1.394109, dt = 0.002011
currentTime = 1.396298, dt = 0.002188
currentTime = 1.398308, dt = 0.002010
currentTime = 1.400984, dt = 0.002675
currentTime = 1.403000, dt = 0.002017
currentTime = 1.405011, dt = 0.002010
currentTime = 1.407029, dt = 0.002018
currentTime = 1.409047, dt = 0.002018
